# SV QSO distribution from Ch. Yeche (Mar 2021)
# 1D ========= (0.1 dz bins, values are for bin center)
# 
# z  N_qso/sq.deg
1.499999999999999944e-01 2.554142400000000146e-01
2.500000000000000000e-01 3.436944299999999952e-01
3.499999999999999778e-01 6.214979000000000475e-01
4.500000000000000111e-01 1.128597669999999997e+00
5.500000000000000444e-01 1.904766769999999942e+00
6.500000000000000222e-01 2.989778219999999820e+00
7.500000000000000000e-01 4.413827320000000221e+00
8.499999999999999778e-01 5.986821550000000158e+00
9.499999999999999556e-01 7.314141049999999922e+00
1.050000000000000044e+00 8.354079289999999602e+00
1.149999999999999911e+00 9.413659909999999797e+00
1.250000000000000000e+00 1.049916744000000079e+01
1.350000000000000089e+00 1.131143624000000081e+01
1.449999999999999956e+00 1.179167797999999934e+01
1.550000000000000044e+00 1.212731246999999968e+01
1.649999999999999911e+00 1.233441750999999975e+01
1.750000000000000000e+00 1.225224015000000044e+01
1.850000000000000089e+00 1.183999457000000000e+01
1.949999999999999956e+00 1.118403016999999977e+01
2.049999999999999822e+00 1.035873241000000000e+01
2.149999999999999911e+00 9.420962049999999977e+00
2.250000000000000000e+00 8.426817890000000588e+00
2.350000000000000089e+00 7.431839029999999902e+00
2.450000000000000178e+00 6.478691060000000057e+00
2.549999999999999822e+00 5.596469810000000322e+00
2.649999999999999911e+00 4.797696779999999883e+00
2.750000000000000000e+00 4.078878790000000087e+00
2.850000000000000089e+00 3.435826430000000098e+00
2.950000000000000178e+00 2.864350239999999825e+00
3.049999999999999822e+00 2.360260789999999886e+00
3.149999999999999911e+00 1.919368640000000070e+00
3.250000000000000000e+00 1.537484360000000105e+00
3.350000000000000089e+00 1.210418500000000064e+00
3.450000000000000178e+00 9.339816300000000071e-01
3.549999999999999822e+00 7.039843000000000073e-01
3.649999999999999911e+00 5.162370899999999541e-01
3.750000000000000000e+00 3.665505499999999750e-01
3.850000000000000089e+00 2.507352400000000259e-01
3.950000000000000178e+00 1.646017300000000017e-01
4.049999999999999822e+00 1.039605799999999969e-01
4.150000000000000355e+00 6.462234000000000034e-02
4.250000000000000000e+00 4.239758999999999889e-02
4.349999999999999645e+00 3.309687000000000046e-02
4.450000000000000178e+00 3.253075999999999884e-02
4.549999999999999822e+00 3.650981999999999839e-02
