# SV QSO distribution from Final Design Report (FDR, 2016)
# 1D ========= (0.1 dz bins, values are for bin center)
# 
# z  N_qso/sq.deg
6.500000000000000222e-01 4.397706389999999743e+00
7.500000000000000000e-01 5.407945530000000112e+00
8.499999999999999778e-01 6.257620769999999943e+00
9.499999999999999556e-01 6.955480760000000373e+00
1.050000000000000044e+00 7.510274159999999810e+00
1.149999999999999911e+00 7.930749600000000399e+00
1.250000000000000000e+00 8.225655729999999721e+00
1.350000000000000089e+00 8.403741200000000688e+00
1.449999999999999956e+00 8.473754660000000882e+00
1.550000000000000044e+00 8.444444759999999661e+00
1.649999999999999911e+00 8.324560140000000885e+00
1.750000000000000000e+00 8.122849450000000360e+00
1.850000000000000089e+00 7.848061340000000108e+00
1.949999999999999956e+00 7.508944450000000437e+00
2.049999999999999822e+00 7.114247429999999817e+00
2.149999999999999911e+00 6.672718940000000210e+00
2.250000000000000000e+00 6.193107610000000207e+00
2.350000000000000089e+00 5.684162090000000056e+00
2.450000000000000178e+00 5.154631039999999942e+00
2.549999999999999822e+00 4.613263090000000233e+00
2.649999999999999911e+00 4.068806900000000226e+00
2.750000000000000000e+00 3.530011109999999785e+00
2.850000000000000089e+00 3.005624370000000045e+00
2.950000000000000178e+00 2.504395329999999920e+00
3.049999999999999822e+00 2.035072640000000099e+00
3.149999999999999911e+00 1.606404930000000064e+00
3.250000000000000000e+00 1.227140869999999939e+00
3.350000000000000089e+00 9.060290899999999814e-01
3.450000000000000178e+00 6.518182500000000434e-01
3.549999999999999822e+00 4.732569799999999938e-01
3.649999999999999911e+00 3.790939500000000129e-01
3.750000000000000000e+00 3.780777900000000247e-01
3.850000000000000089e+00 4.789571499999999982e-01
3.950000000000000178e+00 6.904806900000000081e-01
4.049999999999999822e+00 1.021397040000000089e+00
